TimeStamp,TYPE_ACCELEROMETER_X,TYPE_ACCELEROMETER_Y,TYPE_ACCELEROMETER_Z,TYPE_MAGNETIC_FIELD_X,TYPE_MAGNETIC_FIELD_Y,TYPE_MAGNETIC_FIELD_Z,TYPE_GYROSCOPE_X,TYPE_GYROSCOPE_Y,TYPE_GYROSCOPE_Z,TYPE_ROTATION_VECTOR_X,TYPE_ROTATION_VECTOR_Y,TYPE_ROTATION_VECTOR_Z,TYPE_LINEAR_ACCELERATION_X,TYPE_LINEAR_ACCELERATION_Y,TYPE_LINEAR_ACCELERATION_Z,TYPE_GRAVITY_X,TYPE_GRAVITY_Y,TYPE_GRAVITY_Z
20160924-002621,0.0143585205,4.213791,3.6894531,-14.453125,-33.31604,-26.805115,0.60079956,-1.4615326,-0.10121155,0.5209961,-0.1925354,-0.15826416,-0.30854797,-0.16339111,0.10548401,-1.2665253,7.7581024,5.863098
20160924-002621,0.0143585205,4.213791,3.6894531,-14.453125,-33.31604,-26.805115,0.60079956,-1.4615326,-0.10121155,0.5209961,-0.1925354,-0.15826416,1.2808838,-3.5443115,-2.1736298,-1.2665253,7.7581024,5.863098
20160924-002621,-3.7588959,7.5800323,9.483429,-14.453125,-33.31604,-26.805115,0.60079956,-1.4615326,-0.10121155,0.5209961,-0.1925354,-0.15826416,1.2808838,-3.5443115,-2.1736298,-1.2665253,7.7581024,5.863098
20160924-002621,-3.7588959,7.5800323,9.483429,-14.453125,-33.31604,-26.805115,-3.445053,2.8016357,-0.051132202,0.5209961,-0.1925354,-0.15826416,1.2808838,-3.5443115,-2.1736298,-1.2665253,7.7581024,5.863098
20160924-002621,-3.7588959,7.5800323,9.483429,-14.453125,-33.31604,-26.805115,-3.445053,2.8016357,-0.051132202,0.31219482,0.15008545,-0.10624695,1.2808838,-3.5443115,-2.1736298,-1.2665253,7.7581024,5.863098
20160924-002621,-3.7157898,5.9711304,8.45871,-14.453125,-33.31604,-26.805115,-3.445053,2.8016357,-0.051132202,0.31219482,0.15008545,-0.10624695,1.2808838,-3.5443115,-2.1736298,-1.2665253,7.7581024,5.863098
20160924-002621,-3.7157898,5.9711304,8.45871,11.00769,-15.995789,-43.138123,-3.445053,2.8016357,-0.051132202,0.31219482,0.15008545,-0.10624695,1.2808838,-3.5443115,-2.1736298,-1.2665253,7.7581024,5.863098
20160924-002621,-4.539398,2.0542145,7.625519,11.00769,-15.995789,-43.138123,-3.445053,2.8016357,-0.051132202,0.31219482,0.15008545,-0.10624695,1.2808838,-3.5443115,-2.1736298,-1.2665253,7.7581024,5.863098
20160924-002621,-4.539398,2.0542145,7.625519,11.00769,-15.995789,-43.138123,-3.445053,2.8016357,-0.051132202,0.31219482,0.15008545,-0.10624695,1.2808838,-3.5443115,-2.1736298,-3.0811768,3.939804,8.435211
20160924-002621,-4.539398,2.0542145,7.625519,11.00769,-15.995789,-43.138123,-3.445053,2.8016357,-0.051132202,0.31219482,0.15008545,-0.10624695,-1.4582062,-1.8855743,-0.8096771,-3.0811768,3.939804,8.435211
